word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
abdicirati,to abdicate,abdiciram,abdiciraš,abdicira,abdiciramo,abdicirate,abdiciraju,abdicirat ću,abdicirat ćeš,abdicirat će,abdicirat ćemo,abdicirat ćete,abdicirat će,budem abdicirao,budeš abdicirao,bude abdicirao,budemo abdicirali,budete abdicirali,budu abdicirali,abdicirao sam,abdicirao si,abdicirao je,abdicirali smo,abdicirali ste,abdicirali su,bio sam abdicirao,bio si abdicirao,bio je abdicirao,bili smo abdicirali,bili ste abdicirali,bili su abdicirali,abdicirah,abdiciraše,abdiciraše,abdicirasmo,abdiciraste,abdicirahu,abdicirah,,,,,,abdicirao bih,abdicirao bi,abdicirao bi,abdicirali bismo,abdicirali biste,abdicirali bi,bio bih abdicirao,bio bi abdicirao,bio bi abdicirao,bili bismo abdicirali,bili biste abdicirali,bili bi abdicirali,abdiciraj,abdicirajmo,abdicirajte
abecedirati,to alphabetize,abecediram,abecediraš,abecedira,abecediramo,abecedirate,abecediraju,abecedirat ću,abecedirat ćeš,abecedirat će,abecedirat ćemo,abecedirat ćete,abecedirat će,budem abecedirao,budeš abecedirao,bude abecedirao,budemo abecedirali,budete abecedirali,budu abecedirali,abecedirao sam,abecedirao si,abecedirao je,abecedirali smo,abecedirali ste,abecedirali su,bio sam abecedirao,bio si abecedirao,bio je abecedirao,bili smo abecedirali,bili ste abecedirali,bili su abecedirali,abecedirah,abecediraše,abecediraše,abecedirasmo,abecediraste,abecedirahu,abecedirah,abecedira,abecedira,abecedirasmo,abecediraste,abecediraše,abecedirao bih,abecedirao bi,abecedirao bi,abecedirali bismo,abecedirali biste,abecedirali bi,bio bih abecedirao,bio bi abecedirao,bio bi abecedirao,bili bismo abecedirali,bili biste abecedirali,bili bi abecedirali,abecediraj,abecedirajmo,abecedirajte
abonirati,to get a season ticket for subscribe,aboniram,aboniraš,abonira,aboniramo,abonirate,aboniraju,abonirat ću,abonirat ćeš,abonirat će,abonirat ćemo,abonirat ćete,abonirat će,budem abonirao,budeš abonirao,bude abonirao,budemo abonirali,budete abonirali,budu abonirali,abonirao sam,abonirao si,abonirao je,abonirali smo,abonirali ste,abonirali su,bio sam abonirao,bio si abonirao,bio je abonirao,bili smo abonirali,bili ste abonirali,bili su abonirali,abonirah,aboniraše,aboniraše,abonirasmo,aboniraste,abonirahu,,,,,,,abonirao bih,abonirao bi,abonirao bi,abonirali bismo,abonirali biste,abonirali bi,bio bih abonirao,bio bi abonirao,bio bi abonirao,bili bismo abonirali,bili biste abonirali,bili bi abonirali,aboniraj,abonirajmo,abonirajte
abortirati,to abort,abortiram,abortiraš,abortira,abortiramo,abortirate,abortiraju,abortirat ću,abortirat ćeš,abortirat će,abortirat ćemo,abortirat ćete,abortirat će,budem abortirao,budeš abortirao,bude abortirao,budemo abortirali,budete abortirali,budu abortirali,abortirao sam,abortirao si,abortirao je,abortirali smo,abortirali ste,abortirali su,bio sam abortirao,bio si abortirao,bio je abortirao,bili smo abortirali,bili ste abortirali,bili su abortirali,abortirah,abortiraše,abortiraše,abortirasmo,abortiraste,abortirahu,abortirah,abortira,abortira,abortirasmo,abortiraste,abortiraše,abortirao bih,abortirao bi,abortirao bi,abortirali bismo,abortirali biste,abortirali bi,bio bih abortirao,bio bi abortirao,bio bi abortirao,bili bismo abortirali,bili biste abortirali,bili bi abortirali,abortiraj,abortirajmo,abortirajte
adaptirati,to adapt,adaptiram,adaptiraš,adaptira,adaptiramo,adaptirate,adaptiraju,adaptirat ću,adaptirat ćeš,adaptirat će,adaptirat ćemo,adaptirat ćete,adaptirat će,budem adaptirao,budeš adaptirao,bude adaptirao,budemo adaptirali,budete adaptirali,budu adaptirali,adaptirao sam,adaptirao si,adaptirao je,adaptirali smo,adaptirali ste,adaptirali su,bio sam adaptirao,bio si adaptirao,bio je adaptirao,bili smo adaptirali,bili ste adaptirali,bili su adaptirali,adaptirah,adaptiraše,adaptiraše,adaptirasmo,adaptiraste,adaptirahu,adaptirah,adaptira,adaptira,adaptirasmo,adaptiraste,adaptiraše,adaptirao bih,adaptirao bi,adaptirao bi,adaptirali bismo,adaptirali biste,adaptirali bi,bio bih adaptirao,bio bi adaptirao,bio bi adaptirao,bili bismo adaptirali,bili biste adaptirali,bili bi adaptirali,adaptiraj,adaptirajmo,adaptirajte
adjustirati,to adjust,ađustiram,ađustiraš,ađustira,ađustiramo,ađustirate,ađustiraju,ađustirat ću,ađustirat ćeš,ađustirat će,ađustirat ćemo,ađustirat ćete,ađustirat će,budem ađustirao,budeš ađustirao,bude ađustirao,budemo ađustirali,budete ađustirali,budu ađustirali,ađustirao sam,ađustirao si,ađustirao je,ađustirali smo,ađustirali ste,ađustirali su,bio sam ađustirao,bio si ađustirao,bio je ađustirao,bili smo ađustirali,bili ste ađustirali,bili su ađustirali,ađustirah,ađustiraše,ađustiraše,ađustirasmo,ađustiraste,ađustirahu,adjustirah,ađustira,ađustira,ađustirasmo,ađustiraste,ađustiraše,ađustirao bih,ađustirao bi,ađustirao bi,ađustirali bismo,ađustirali biste,ađustirali bi,bio bih ađustirao,bio bi ađustirao,bio bi ađustirao,bili bismo ađustirali,bili biste ađustirali,bili bi ađustirali,ađustiraj,ađustirajmo,ađustirajte
adoptirati,to adopt,adoptiram,adoptiraš,adoptira,adoptiramo,adoptirate,adoptiraju,adoptirat ću,adoptirat ćeš,adoptirat će,adoptirat ćemo,adoptirat ćete,adoptirat će,budem adoptirao,budeš adoptirao,bude adoptirao,budemo adoptirali,budete adoptirali,budu adoptirali,adoptirao sam,adoptirao si,adoptirao je,adoptirali smo,adoptirali ste,adoptirali su,bio sam adoptirao,bio si adoptirao,bio je adoptirao,bili smo adoptirali,bili ste adoptirali,bili su adoptirali,adoptirah,adoptiraše,adoptiraše,adoptirasmo,adoptiraste,adoptirahu,adoptirah,adoptira,adoptira,adoptirasmo,adoptiraste,adoptiraše,adoptirao bih,adoptirao bi,adoptirao bi,adoptirali bismo,adoptirali biste,adoptirali bi,bio bih adoptirao,bio bi adoptirao,bio bi adoptirao,bili bismo adoptirali,bili biste adoptirali,bili bi adoptirali,adoptiraj,adoptirajmo,adoptirajte
adorirati,to adore,adoriram,adoriraš,adorira,adoriramo,adorirate,adoriraju,adorirat ću,adorirat ćeš,adorirat će,adorirat ćemo,adorirat ćete,adorirat će,budem adorirao,budeš adorirao,bude adorirao,budemo adorirali,budete adorirali,budu adorirali,adorirao sam,adorirao si,adorirao je,adorirali smo,adorirali ste,adorirali su,bio sam adorirao,bio si adorirao,bio je adorirao,bili smo adorirali,bili ste adorirali,bili su adorirali,adorirah,adoriraše,adoriraše,adorirasmo,adoriraste,adorirahu,adorirah,adorira,adorira,adorirasmo,adoriraste,adoriraše,adorirao bih,adorirao bi,adorirao bi,adorirali bismo,adorirali biste,adorirali bi,bio bih adorirao,bio bi adorirao,bio bi adorirao,bili bismo adorirali,bili biste adorirali,bili bi adorirali,adoriraj,adorirajmo,adorirajte
adresirati,to address,adresiram,adresiraš,adresira,adresiramo,adresirate,adresiraju,adresirat ću,adresirat ćeš,adresirat će,adresirat ćemo,adresirat ćete,adresirat će,budem adresirao,budeš adresirao,bude adresirao,budemo adresirali,budete adresirali,budu adresirali,adresirao sam,adresirao si,adresirao je,adresirali smo,adresirali ste,adresirali su,bio sam adresirao,bio si adresirao,bio je adresirao,bili smo adresirali,bili ste adresirali,bili su adresirali,adresirah,adresiraše,adresiraše,adresirasmo,adresiraste,adresirahu,adresirah,adresira,adresira,adresirasmo,adresiraste,adresiraše,adresirao bih,adresirao bi,adresirao bi,adresirali bismo,adresirali biste,adresirali bi,bio bih adresirao,bio bi adresirao,bio bi adresirao,bili bismo adresirali,bili biste adresirali,bili bi adresirali,adresiraj,adresirajmo,adresirajte
afektirati,to affect,afektiram,afektiraš,afektira,afektiramo,afektirate,afektiraju,afektirat ću,afektirat ćeš,afektirat će,afektirat ćemo,afektirat ćete,afektirat će,budem afektirao,budeš afektirao,bude afektirao,budemo afektirali,budete afektirali,budu afektirali,afektirao sam,afektirao si,afektirao je,afektirali smo,afektirali ste,afektirali su,bio sam afektirao,bio si afektirao,bio je afektirao,bili smo afektirali,bili ste afektirali,bili su afektirali,afektirah,afektiraše,afektiraše,afektirasmo,afektiraste,afektirahu,afektirah,afektira,afektira,afektirasmo,afektiraste,afektiraše,afektirao bih,afektirao bi,afektirao bi,afektirali bismo,afektirali biste,afektirali bi,bio bih afektirao,bio bi afektirao,bio bi afektirao,bili bismo afektirali,bili biste afektirali,bili bi afektirali,afektiraj,afektirajmo,afektirajte
afirmirati,to establish or affirm ,afirmiram,afirmiraš,afirmira,afirmiramo,afirmirate,afirmiraju,afirmirat ću,afirmirat ćeš,afirmirat će,afirmirat ćemo,afirmirat ćete,afirmirat će,budem afirmirao,budeš afirmirao,bude afirmirao,budemo afirmirali,budete afirmirali,budu afirmirali,afirmirao sam,afirmirao si,afirmirao je,afirmirali smo,afirmirali ste,afirmirali su,bio sam afirmirao,bio si afirmirao,bio je afirmirao,bili smo afirmirali,bili ste afirmirali,bili su afirmirali,afirmirah,afirmiraše,afirmiraše,afirmirasmo,afirmiraste,afirmirahu,afirmirah,afirmira,afirmira,afirmirasmo,afirmiraste,afirmiraše,afirmirao bih,afirmirao bi,afirmirao bi,afirmirali bismo,afirmirali biste,afirmirali bi,bio bih afirmirao,bio bi afirmirao,bio bi afirmirao,bili bismo afirmirali,bili biste afirmirali,bili bi afirmirali,afirmiraj,afirmirajmo,afirmirajte
agitirati,to agitate,agitiram,agitiraš,agitira,agitiramo,agitirate,agitiraju,agitirat ću,agitirat ćeš,agitirat će,agitirat ćemo,agitirat ćete,agitirat će,budem agitirao,budeš agitirao,bude agitirao,budemo agitirali,budete agitirali,budu agitirali,agitirao sam,agitirao si,agitirao je,agitirali smo,agitirali ste,agitirali su,bio sam agitirao,bio si agitirao,bio je agitirao,bili smo agitirali,bili ste agitirali,bili su agitirali,agitirah,agitiraše,agitiraše,agitirasmo,agitiraste,agitirahu,agitirah,agitira,agitira,agitirasmo,agitiraste,agitiraše,agitirao bih,agitirao bi,agitirao bi,agitirali bismo,agitirali biste,agitirali bi,bio bih agitirao,bio bi agitirao,bio bi agitirao,bili bismo agitirali,bili biste agitirali,bili bi agitirali,agitiraj,agitirajmo,agitirajte
akcentirati,to accentuate,akcentiram,akcentiraš,akcentira,akcentiramo,akcentirate,akcentiraju,akcentirat ću,akcentirat ćeš,akcentirat će,akcentirat ćemo,akcentirat ćete,akcentirat će,budem akcentirao,budeš akcentirao,bude akcentirao,budemo akcentirali,budete akcentirali,budu akcentirali,akcentirao sam,akcentirao si,akcentirao je,akcentirali smo,akcentirali ste,akcentirali su,bio sam akcentirao,bio si akcentirao,bio je akcentirao,bili smo akcentirali,bili ste akcentirali,bili su akcentirali,akcentirah,akcentiraše,akcentiraše,akcentirasmo,akcentiraste,akcentirahu,akcentirah,akcentira,akcentira,akcentirasmo,akcentiraste,akcentiraše,akcentirao bih,akcentirao bi,akcentirao bi,akcentirali bismo,akcentirali biste,akcentirali bi,bio bih akcentirao,bio bi akcentirao,bio bi akcentirao,bili bismo akcentirali,bili biste akcentirali,bili bi akcentirali,akcentiraj,akcentirajmo,akcentirajte
aklimatizirati,to acclimatize/acclimate,aklimatiziram,aklimatiziraš,aklimatizira,aklimatiziramo,aklimatizirate,aklimatiziraju,aklimatizirat ću,aklimatizirat ćeš,aklimatizirat će,aklimatizirat ćemo,aklimatizirat ćete,aklimatizirat će,budem aklimatizirao,budeš aklimatizirao,bude aklimatizirao,budemo aklimatizirali,budete aklimatizirali,budu aklimatizirali,aklimatizirao sam,aklimatizirao si,aklimatizirao je,aklimatizirali smo,aklimatizirali ste,aklimatizirali su,bio sam aklimatizirao,bio si aklimatizirao,bio je aklimatizirao,bili smo aklimatizirali,bili ste aklimatizirali,bili su aklimatizirali,aklimatizirah,aklimatiziraše,aklimatiziraše,aklimatizirasmo,aklimatiziraste,aklimatizirahu,,,,,,,aklimatizirao bih,aklimatizirao bi,aklimatizirao bi,aklimatizirali bismo,aklimatizirali biste,aklimatizirali bi,bio bih aklimatizirao,bio bi aklimatizirao,bio bi aklimatizirao,bili bismo aklimatizirali,bili biste aklimatizirali,bili bi aklimatizirali,aklimatiziraj,aklimatizirajmo,aklimatizirajte
